"","Proveedor","Rut_RBD","Id_Reg","Id_Prov","Id_Com","Región","Provincia","Comuna","Raz_Soc","Dirección","Fono","Mail","Web","SIGLA_SEDE","Tipo_Insti","Clas_CFT_I","Area","Dependenci","Rut_Sost","Sostenedor","Niv_Ens","Esp_concat","Sigla","Nom_Establ","Coor_OTEC","Fono_OTEC","Enc_Establ","Fono_Estab","Clas_Prove","Cla_Ot_RN","Cla_Ot_RE","Cla_cft_IP","Cla_LTP","LAT_Y_2018","LON_X_2018","F36","OBJECTID","geometry"
"216","Liceos Técnicos Profesionales","4160",8,83,8301,"Biobio","Biobio","Los Ángeles","Liceo Comercial Camilo Henriquez","Galvarino 1310","432 345 450","liceocamilo@gmail.com","www.lcch.cl"," "," "," ","URBANO","Particular Subvencionado","71074300","Sociedad Educ Cecilia Fauer Luhr Y Cia Ltda."," ","Administración- Otras especialidades sin información u obsoletas"," "," "," "," "," "," ",3," "," ",0,"1",-37.465726,-72.3682," ",694,c(-72.3681997503182, -37.4657255198168)
"217","Liceos Técnicos Profesionales","12005",8,83,8301,"Biobio","Biobio","Los Ángeles","Colegio Don Orione","Valdivia 1101","432 362 168","escuelaorione@hotmail.com","www.donorionelosangeles.cl"," "," "," ","URBANO","Particular Subvencionado","82156700","Congr.Relig. Pequena Obra Divina Providencia"," ","Administración- Mecánica Automotriz- Electricidad"," "," "," "," "," "," ",3," "," ",0,"1",-37.460286,-72.351392," ",695,c(-72.3513922396601, -37.4602864704442)
"218","Liceos Técnicos Profesionales","4287",8,83,8301,"Biobio","Biobio","Los Ángeles","Liceo Agrícola Y Forestal El Huertón","Camino Antuco Km 6 S/N","432 313 621","losangeles.direccion@snaeduca.cl","www.liceoelhuerton.cl"," "," "," ","URBANO","Corporación de Administración Delegada (DL 3166)","65044735","Corporación Educacional De La Sociedad Nacional De Agricultura  Fg-Sna Educa"," ","Forestal- Agropecuaria"," "," "," "," "," "," ",3," "," ",0,"1",-37.4565,-72.277094," ",696,c(-72.2770936300669, -37.4565001096923)
"219","Liceos Técnicos Profesionales","17764",8,83,8309,"Biobio","Biobio","Quilleco","Escuela Particular Armando Zunino Zunino","Poblacion San Lorencito   S/N","432 970 956","lgosep@gmail.com"," "," "," "," ","RURAL","Particular Subvencionado","77418940","Soc. Educacional Bartta Ltda."," ","Agropecuaria"," "," "," "," "," "," ",3," "," ",0,"1",-37.453794,-71.980408," ",697,c(-71.9804083797429, -37.4537935001699)
"220","Liceos Técnicos Profesionales","4277",8,83,8301,"Biobio","Biobio","Los Ángeles","Centro Educación Adventista Los Ángeles","Kilometro 16 Camino Antuco S/N","432 402 410","colegio.ceala@gmail.com"," "," "," "," ","RURAL","Particular Subvencionado","65102259","Fundación Educacional Mario Veloso Oses"," ","Administración- Mecánica Automotriz- Química Industrial"," "," "," "," "," "," ",3," "," ",0,"1",-37.432491,-72.184798," ",698,c(-72.1847980799674, -37.432491400058)
"221","Liceos Técnicos Profesionales","18090",8,83,8301,"Biobio","Biobio","Los Ángeles","Colegio San Lorenzo","Santa Clara Km. 9,4 S/N","438 549 419","sanlorenzo9.4@gmail.com"," "," "," "," ","RURAL","Particular Subvencionado","76285520","Sociedad Educacional Schooltaav Limitada"," ","Administración- Gastronomía- Otras especialidades sin información u obsoletas"," "," "," "," "," "," ",3," "," ",0,"1",-37.363134,-72.297057," ",699,c(-72.2970567502688, -37.3631336001355)
"222","Liceos Técnicos Profesionales","4483",8,83,8304,"Biobio","Biobio","Laja","Liceo Politecnico Heroes De La Concepción","Baquedano 273","432 534 324","liceoa-66@munilaja.cl"," "," "," "," ","URBANO","Municipal","69170300","Ilustre Municipalidad De Laja"," ","Administración- Construcciones Metálicas"," "," "," "," "," "," ",3," "," ",0,"1",-37.278778,-72.713206," ",700,c(-72.7132057900151, -37.2787780501669)
"223","Liceos Técnicos Profesionales","18080",8,82,8202,"Biobio","Arauco","Arauco","Liceo Politecnico Carampangue","Condell, Carampangue 80","412 572 267","lpc.carampangue@hotmail.com","lpcarampange.org"," "," "," ","URBANO","Municipal","69160100","Ilustre Municipalidad De Arauco"," ","Contabilidad- Administración- Electricidad- Electrónica"," "," "," "," "," "," ",3," "," ",0,"1",-37.258335,-73.242516," ",701,c(-73.2425160102057, -37.2583347396564)
"224","Liceos Técnicos Profesionales","4309",8,83,8312,"Biobio","Biobio","Tucapel","Liceo De Huepil","12 De Febrero 171. Huepil","432 404 029","rsilvasemlerf@hotmail.com"," "," "," "," ","URBANO","Municipal","69141800","Ilustre Municipalidad De Tucapel"," ","Forestal"," "," "," "," "," "," ",3," "," ",0,"1",-37.241149,-71.942332," ",702,c(-71.9423319998219, -37.2411490002261)
"225","Liceos Técnicos Profesionales","5057",8,82,8202,"Biobio","Arauco","Arauco","Liceo Técnico Pesquero Filidor Gaete Monsálvez","Llico S/N","412 553 827","llicoarauco@gmail.com"," "," "," "," ","RURAL","Municipal","69160100","Ilustre Municipalidad De Arauco"," ","Acuicultura"," "," "," "," "," "," ",3," "," ",0,"1",-37.19873,-73.564939," ",703,c(-73.5649393799484, -37.1987298696877)
"226","Liceos Técnicos Profesionales","4925",8,81,8109,"Biobio","Concepción","Santa Juana","Liceo Nueva Zelandia","Alameda 589","412 779 170","bparisrivas@hotmail.com","www.liceonuevazelandia.cl"," "," "," ","URBANO","Municipal","69151400","Ilustre Municipalidad De Santa Juana"," ","Forestal- Agropecuaria"," "," "," "," "," "," ",3," "," ",0,"1",-37.179985,-72.939982," ",704,c(-72.9399819703916, -37.1799848101508)
"227","Liceos Técnicos Profesionales","18075",8,81,8109,"Biobio","Concepción","Santa Juana","Colegio Jahve Nisi","Diagonal Bio-Bio 263","412 778 414","directorasantajuana@hotmail.com"," "," "," "," ","URBANO","Particular Subvencionado","76361370","Sociedad Educacional Fersalva Ltda."," ","Electricidad- Atención de Párvulos"," "," "," "," "," "," ",3," "," ",0,"1",-37.172864,-72.937852," ",705,c(-72.9378519998698, -37.1728639997737)
"228","Liceos Técnicos Profesionales","4507",8,83,8313,"Biobio","Biobio","Yumbel","Liceo Técnico Profesional Gonzalo Guglielmi Montiel","Ignacio Carrera Pinto 369","432 431 096","liceoggm@gmail.com"," "," "," "," ","URBANO","Municipal","69150900","Ilustre Municipalidad De Yumbel."," ","Telecomunicaciones- Otras especialidades sin información u obsoletas"," "," "," "," "," "," ",3," "," ",0,"1",-37.142551,-72.538701," ",706,c(-72.5387010101435, -37.1425509904358)
"229","Liceos Técnicos Profesionales","3941",16,161,16109,"Ñuble","Diguillín","Yungay","Liceo Campanario","Calle Cruz Del Cipres   Campanario A Cuatro Cuadras De La Carretera Hacia Cabrero S/N","422 971 502","campanario373@gmail.com"," "," "," "," ","URBANO","Municipal","69141500","Ilustre Municipalidad De Yungay"," ","Mecánica Industrial- Atención de Párvulos"," "," "," "," "," "," ",3," "," ",0,"1",-37.135795,-72.182706," ",707,c(-72.1827056804228, -37.1357946599955)
"230","Liceos Técnicos Profesionales","3940",16,161,16109,"Ñuble","Diguillín","Yungay","Liceo De Yungay","Independencia 200","422 680 019","liceoyungay@gmail.com"," "," "," "," ","URBANO","Municipal","69141500","Ilustre Municipalidad De Yungay"," ","Administración- Electricidad"," "," "," "," "," "," ",3," "," ",0,"1",-37.119429,-72.019856," ",708,c(-72.0198559299072, -37.1194293396922)
"231","Liceos Técnicos Profesionales","4948",8,81,8106,"Biobio","Concepción","Lota","Liceo Politecnico Rosauro Santana Rios","Condell 446","412 876 260","politecnicolota@lipol.cl","www.lipol.cl"," "," "," ","URBANO","Municipal","69151300","Ilustre Municipalidad De Lota"," ","Construcciones Metálicas- Mecánica Industrial- Electricidad- Otras especialidades sin información u obsoletas"," "," "," "," "," "," ",3," "," ",0,"1",-37.095199,-73.152508," ",709,c(-73.1525083803574, -37.0951990002336)
"232","Liceos Técnicos Profesionales","4288",8,83,8303,"Biobio","Biobio","Cabrero","Liceo Politécnico General Oscar Bonilla Bradanov","Carlos Viel 299, Monte Águila","432 419 275","rsolis@educabrero.cl"," "," "," "," ","URBANO","Municipal","69151000","Ilustre Municipalidad De Cabrero"," ","Administración- Construcción- Construcciones Metálicas- Electricidad"," "," "," "," "," "," ",3," "," ",0,"1",-37.084458,-72.436719," ",710,c(-72.4367189998819, -37.0844580004363)
"233","Liceos Técnicos Profesionales","4949",8,81,8106,"Biobio","Concepción","Lota","Liceo Comercial Presidente Frei Montalva","Avenida Playa Blanca 17-P","412 876 470","liceocomercialdelota@gmail.com"," "," "," "," ","URBANO","Municipal","69151300","Ilustre Municipalidad De Lota"," ","Administración- Atención de Párvulos- Operación Portuaria"," "," "," "," "," "," ",3," "," ",0,"1",-37.074811,-73.149507," ",711,c(-73.1495071097652, -37.0748111500145)
"234","Liceos Técnicos Profesionales","4289",8,83,8303,"Biobio","Biobio","Cabrero","Liceo Manuel Arístides Zañartu","Avenida Las Violetas 569","432 411 218","jinzunza@educabrero.cl"," "," "," "," ","URBANO","Municipal","69151000","Ilustre Municipalidad De Cabrero"," ","Mecánica Industrial- Otras especialidades sin información u obsoletas"," "," "," "," "," "," ",3," "," ",0,"1",-37.034128,-72.397356," ",712,c(-72.3973558798699, -37.0341283297586)
"235","Liceos Técnicos Profesionales","4975",8,81,8102,"Biobio","Concepción","Coronel","Liceo Industrial Fundación Federico Schwager","Avda. 21 De Mayo N°83 - Schwager","412 711 779","liceoindustrialschwager@corporacionestudio.cl"," "," "," "," ","URBANO","Corporación de Administración Delegada (DL 3166)","71360000","Corp. De Estudio,Cap. Y Empleo De La Cámara De Producción Y Comercio Concepción"," ","Electricidad- Electrónica- Telecomunicaciones"," "," "," "," "," "," ",3," "," ",0,"1",-37.026232,-73.177686," ",713,c(-73.1776859298618, -37.0262320897391)
"236","Liceos Técnicos Profesionales","4977",8,81,8102,"Biobio","Concepción","Coronel","Liceo Comercial Andres Bello Lopez","Calle Yobilo 120","412 711 193","landresb@gmail.com"," "," "," "," ","URBANO","Municipal","69151200","Ilustre Municipalidad De Coronel"," ","Contabilidad- Administración- Atención de Párvulos"," "," "," "," "," "," ",3," "," ",0,"1",-37.011764,-73.155956," ",714,c(-73.1559558999448, -37.0117641698805)
"237","Liceos Técnicos Profesionales","4983",8,81,8102,"Biobio","Concepción","Coronel","Liceo Yobilo De Coronel","Acevedo Hernandez 1050","412 710 944","liceo.yobilo@demcoronel.cl","www.liceoyobilo.cl"," "," "," ","URBANO","Municipal","69151200","Ilustre Municipalidad De Coronel"," ","Administración- Electricidad- Elaboración Industrial de Alimentos"," "," "," "," "," "," ",3," "," ",0,"1",-37.007717,-73.153135," ",715,c(-73.1531348301083, -37.0077171496267)
"238","Liceos Técnicos Profesionales","12033",8,81,8102,"Biobio","Concepción","Coronel","Liceo Industrial Metodista De Coronel","Avda Los Molineros 22","412 715 804","indumeto@ctcinternet.cl","www.lim-coronel.org"," "," "," ","URBANO","Particular Subvencionado","65033068","Fundacion Educ. Iglesia Metodista  De Chile Raimundo Valenzuela Arms"," ","Construcciones Metálicas- Mecánica Automotriz- Electrónica"," "," "," "," "," "," ",3," "," ",0,"1",-36.991692,-73.168362," ",716,c(-73.1683621995558, -36.9916919097538)
"239","Liceos Técnicos Profesionales","17818",8,81,8102,"Biobio","Concepción","Coronel","Liceo Tecnico Profesional De La Madera","Avda. Cordillera 3581, Parque Industrial Coronel","412 856 571","manuel.jimenez@educades.cl","www.cemcoronel.cl"," "," "," ","URBANO","Particular Subvencionado","65061296","Fundacion Educacion Para El Desarrollo Educades"," ","Administración- Forestal- Otras especialidades sin información u obsoletas"," "," "," "," "," "," ",3," "," ",0,"1",-36.976605,-73.164085," ",717,c(-73.1640847001487, -36.9766051699926)
"240","Liceos Técnicos Profesionales","3961",16,161,16105,"Ñuble","Diguillín","Pemuco","Liceo Polivalente Tomás Arnaldo Herrera Vega","Fundo El Maiten , Lote 2, Hijuela 2","422 975 085","tito554@gmail.com"," "," "," "," ","URBANO","Municipal","69141600","Ilustre Municipalidad De Pemuco"," ","Agropecuaria"," "," "," "," "," "," ",3," "," ",0,"1",-36.97633,-72.099564," ",718,c(-72.0995639499163, -36.9763299603594)
"241","Liceos Técnicos Profesionales","4897",8,81,8105,"Biobio","Concepción","Hualqui","Liceo San Juan Bautista De Hualqui","O`Higgins 635","412 780 453","snavarrete55@gmail.com"," "," "," "," ","URBANO","Municipal","69150600","Ilustre Municipalidad De Hualqui"," ","Administración- Otras especialidades sin información u obsoletas"," "," "," "," "," "," ",3," "," ",0,"1",-36.973405,-72.934479," ",719,c(-72.9344792103473, -36.9734048200763)
"242","Liceos Técnicos Profesionales","4560",8,81,8103,"Biobio","Concepción","Chiguayante","Liceo Chiguayante","La Marina 350","412 362 004","liceo.chiguayanteb37@gmail.com"," "," "," "," ","URBANO","Municipal","69264700","Ilustre Municipalidad De Chiguayante"," ","Electricidad- Electrónica- Otras especialidades sin información u obsoletas"," "," "," "," "," "," ",3," "," ",0,"1",-36.922903,-73.030627," ",720,c(-73.0306269803508, -36.9229025101427)
"243","Liceos Técnicos Profesionales","3909",16,161,16104,"Ñuble","Diguillín","El Carmen","Liceo Polivalente Juvenal Hernández Jaque","ESMERALDA 88","422 661 085","liceoelcarmenc74@yahoo.cl"," "," "," "," ","URBANO","Municipal","69141700","Ilustre Municipalidad De El Carmen"," ","Electricidad- Atención de Párvulos"," "," "," "," "," "," ",3," "," ",0,"1",-36.898534,-72.031094," ",721,c(-72.0310937295919, -36.8985339295971)
"244","Liceos Técnicos Profesionales","18218",8,81,8108,"Biobio","Concepción","San Pedro de la Paz","Colegio Nuevos Horizontes","Galvarino 3446","412 278 162","opereira@daemspp.cl","www.colegionuevoshorizontes.cl"," "," "," ","URBANO","Municipal","69264800","Ilustre Municipalidad San Pedro De La Paz"," ","Otras especialidades sin información u obsoletas"," "," "," "," "," "," ",3," "," ",0,"1",-36.850934,-73.145465," ",722,c(-73.1454649998099, -36.8509339999042)
"245","Liceos Técnicos Profesionales","12062",8,81,8108,"Biobio","Concepción","San Pedro de la Paz","Liceo Mauricio Hochschild","Los Acacios 1755","412 374 904","ceat@ceat.cl","www.ceat.cl"," "," "," ","URBANO","Particular Subvencionado","72394000","Corp.Centro Educacional De Alta Tcnolog."," ","Mecánica Automotriz- Mecánica Industrial- Electricidad- Electrónica- Telecomunicaciones"," "," "," "," "," "," ",3," "," ",0,"1",-36.843581,-73.112289," ",723,c(-73.1122888197732, -36.8435810799029)
"246","Liceos Técnicos Profesionales","3888",16,161,16108,"Ñuble","Diguillín","San Ignacio","Colegio Politecnico Victor Jara","Calle Central, Quiriquina 693","422 975 402","colegiopolivictorjara@gmail.com"," "," "," "," ","RURAL","Municipal","69141300","Ilustre Municipalidad De San Ignacio"," ","Gastronomía- Agropecuaria"," "," "," "," "," "," ",3," "," ",0,"1",-36.841279,-72.101824," ",724,c(-72.1018241701493, -36.8412792003747)
"247","Liceos Técnicos Profesionales","11706",8,81,8108,"Biobio","Concepción","San Pedro de la Paz","Liceo Particular Los Andes","Avda Daniel Belmar 825- Boca Sur","412 277 506","mvalenzuelalla@gmail.com","www.liceoparticularlosandes.cl"," "," "," ","URBANO","Particular Subvencionado","79644290","Sociedad Educacional Bio Bio Ltda."," ","Contabilidad"," "," "," "," "," "," ",3," "," ",0,"1",-36.837342,-73.137587," ",725,c(-73.1375866500039, -36.8373423398771)
"248","Liceos Técnicos Profesionales","4533",8,81,8101,"Biobio","Concepción","Concepción","Liceo Técnico Femenino A-29 De Concepción","Victor Lamas 567","412 234 475","tecninas@ctcinternet.cl","www.liceotecnico.com"," "," "," ","URBANO","Corporación de Administración Delegada (DL 3166)","82733800","Fundacion Del Magisterio De La Araucania"," ","Gastronomía- Servicios de Hotelería- Atención de Párvulos- Atención de Enfermería- Otras especialidades sin información u obsoletas"," "," "," "," "," "," ",3," "," ",0,"1",-36.832653,-73.048515," ",726,c(-73.0485149203273, -36.832653370057)
"249","Liceos Técnicos Profesionales","4557",8,81,8101,"Biobio","Concepción","Concepción","LICEO EXPERIMENTAL LUCILA GODOY ALCAYAGA","Rengo 65"," "," "," "," "," "," ","URBANO"," "," "," "," ","Programación"," "," "," "," "," "," ",3," "," ",0,"1",-36.831829,-73.049562," ",727,c(-73.0495620000862, -36.8318290002081)
"250","Liceos Técnicos Profesionales","4534",8,81,8101,"Biobio","Concepción","Concepción","Liceo Comercial Enrique Oyarzun Mondaca","Caupolican 201","412 401 570","liceocomercialinsuco@corporacionestudio.cl","www.corporacionestudio.cl"," "," "," ","URBANO","Corporación de Administración Delegada (DL 3166)","71360000","Corp. De Estudio,Cap. Y Empleo De La Cámara De Producción Y Comercio Concepción"," ","Administración"," "," "," "," "," "," ",3," "," ",0,"1",-36.829689,-73.049576," ",728,c(-73.049576280421, -36.8296886497114)
"251","Liceos Técnicos Profesionales","4870",8,81,8104,"Biobio","Concepción","Florida","Liceo Luis De Alava","Carlos Condell 701","412 645 290","liceoluisdealava@gmail.com"," "," "," "," ","URBANO","Municipal","69150700","Ilustre Municipalidad De Florida"," ","Contabilidad"," "," "," "," "," "," ",3," "," ",0,"1",-36.82623,-72.660882," ",729,c(-72.6608816901378, -36.8262295603459)
"252","Liceos Técnicos Profesionales","11709",8,81,8101,"Biobio","Concepción","Concepción","Colegio Alerce","Temistocles Rojas 497 497","412 234 045","alercecolegio@gmail.com","www.coalco.cl"," "," "," ","URBANO","Particular Subvencionado","53305604","Corporacion Educacional Y Social Alquimia"," ","Electricidad- Atención de Párvulos"," "," "," "," "," "," ",3," "," ",0,"1",-36.824467,-73.070828," ",730,c(-73.0708284798504, -36.8244667803176)
"253","Liceos Técnicos Profesionales","4536",8,81,8101,"Biobio","Concepción","Concepción","Liceo Comercial Femenino De Concepcion","Las Heras 355","412 223 932","liceocomercialincofe@corporacionestudio.cl"," "," "," "," ","URBANO","Corporación de Administración Delegada (DL 3166)","71360000","Corp. De Estudio,Cap. Y Empleo De La Cámara De Producción Y Comercio Concepción"," ","Administración"," "," "," "," "," "," ",3," "," ",0,"1",-36.823845,-73.056662," ",731,c(-73.0566623203098, -36.8238450798865)
"254","Liceos Técnicos Profesionales","4535",8,81,8101,"Biobio","Concepción","Concepción","Liceo Industrial De Concepcion","Avenida Collao 1602","412 311 211","liceoindustrialconcepcion@corporacionestudio.cl"," "," "," "," ","URBANO","Corporación de Administración Delegada (DL 3166)","71360000","Corp. De Estudio,Cap. Y Empleo De La Cámara De Producción Y Comercio Concepción"," ","Construcciones Metálicas- Mecánica Automotriz- Mecánica Industrial"," "," "," "," "," "," ",3," "," ",0,"1",-36.821774,-73.009171," ",732,c(-73.0091713803549, -36.8217740797099)
"255","Liceos Técnicos Profesionales","17750",8,81,8101,"Biobio","Concepción","Concepción","Colegio Salesiano De Concepcion","Avenida San Juan Bosco 140","412 104 900","jmunozg@mailsalesiano.cl","www.salesianoconcepcion.cl"," "," "," ","URBANO","Particular Subvencionado","80230500","Congregacion Salesiana"," ","Mecánica Automotriz- Electricidad- Electrónica- Telecomunicaciones"," "," "," "," "," "," ",3," "," ",0,"1",-36.819049,-73.034408," ",733,c(-73.0344076798705, -36.8190492796005)
"256","Liceos Técnicos Profesionales","4559",8,81,8101,"Biobio","Concepción","Concepción","Liceo Lorenzo Arenas Olivo","Cuarto Centenario 215","412 471 307","liceob36@gmail.com","lorenzoarenasb36.blogspot.com"," "," "," ","URBANO","Municipal","69150400","Ilustre Municipalidad De Concepcion"," ","Administración- Atención de Párvulos"," "," "," "," "," "," ",3," "," ",0,"1",-36.811921,-73.077687," ",734,c(-73.0776870596101, -36.8119209796694)
"257","Liceos Técnicos Profesionales","17635",8,81,8101,"Biobio","Concepción","Concepción","Col. Tecnico Profesional Los Acacios","Av. Vicuna Mackenna 1442","412 794 723","losacacios@coemco.cl","www.colegiolosacacios.cl"," "," "," ","URBANO","Particular Subvencionado","81679000","Corporacion Educacional Masonica De Concepcio"," ","Administración- Instalaciones Sanitarias- Electricidad- Atención de Párvulos"," "," "," "," "," "," ",3," "," ",0,"1",-36.810924,-73.045044," ",735,c(-73.0450444500413, -36.8109243302936)
"258","Liceos Técnicos Profesionales","4672",8,81,8101,"Biobio","Concepción","Concepción","Liceo Técnico Profesional Jorge Sánchez Ugarte","Juan De Dios Rivera 1821","412 238 709","equezada@jsu.coreduc.cl"," "," "," "," ","URBANO","Particular Subvencionado","70912300","Corp.Educacional De La Construccion"," ","Administración- Montaje Industrial"," "," "," "," "," "," ",3," "," ",0,"1",-36.8061,-73.04563," ",736,c(-73.0456299896323, -36.8061000898472)
"259","Liceos Técnicos Profesionales","16793",8,81,8101,"Biobio","Concepción","Concepción","Liceo Tecnico Profesional La Araucana","Camilo Henriquez 3022","412 383 931","xmendoza@laaraucana.cl"," "," "," "," ","URBANO","Particular Subvencionado","96847590","Sociedad Educacional La Araucana S.E.L.A. S.A"," ","Administración- Otras especialidades sin información u obsoletas"," "," "," "," "," "," ",3," "," ",0,"1",-36.803779,-73.029924," ",737,c(-73.0299240000925, -36.8037789999009)
"260","Liceos Técnicos Profesionales","3907",16,161,16108,"Ñuble","Diguillín","San Ignacio","Liceo Politécnico María Ward","Los Carrera 467","422 426 800","liceo@politecnico-mariaward.com"," "," "," "," ","URBANO","Particular Subvencionado","65271050","Fundacion Educacional Madre Armella Hutzler"," ","Elaboración Industrial de Alimentos- Gastronomía"," "," "," "," "," "," ",3," "," ",0,"1",-36.800049,-72.032093," ",738,c(-72.032092649756, -36.8000484996385)
"261","Liceos Técnicos Profesionales","4706",8,81,8112,"Biobio","Concepción","Hualpén","Liceo Polivalente Pedro Del Río Zañartu","Genova 8260","412 178 555","pedrodelrio@daemhualpen.cl"," "," "," "," ","URBANO","Municipal","69264400","Ilustre Municipalidad De Hualpen"," ","Administración- Servicios de Hotelería- Atención de Párvulos- Otras especialidades sin información u obsoletas"," "," "," "," "," "," ",3," "," ",0,"1",-36.7903,-73.095303," ",739,c(-73.0953027703065, -36.7903001499319)
"262","Liceos Técnicos Profesionales","4717",8,81,8112,"Biobio","Concepción","Hualpén","Liceo Técnico Profesional Lucila Godoy Alcayaga","Suiza, Armando. A Del Canto 2692","412 178 530","lucilagodoy471@gmail.com"," "," "," "," ","URBANO","Municipal","69264400","Ilustre Municipalidad De Hualpen"," ","Administración- Electricidad- Electrónica"," "," "," "," "," "," ",3," "," ",0,"1",-36.781818,-73.109266," ",740,c(-73.1092656596824, -36.7818177201116)
"263","Liceos Técnicos Profesionales","4700",8,81,8112,"Biobio","Concepción","Hualpén","Liceo Industrial De La Construcción Hernán Valenzuela","Bucarest 2750","412 410 934","jmunita@hvl.coreduc.cl","www.coreduc.cl"," "," "," ","URBANO","Corporación de Administración Delegada (DL 3166)","70912300","Corp.Educacional De La Construccion"," ","Administración- Instalaciones Sanitarias- Refrigeración y Climatización- Construcción- Construcciones Metálicas- Electricidad"," "," "," "," "," "," ",3," "," ",0,"1",-36.781631,-73.102269," ",741,c(-73.1022692201483, -36.781630560402)
"264","Liceos Técnicos Profesionales","4782",8,81,8112,"Biobio","Concepción","Hualpén","Centro Educación Evangélico De Hualpén","Finlandia 856","412 410 350","mdelpin7@gmail.com"," "," "," "," ","URBANO","Particular Subvencionado","70248500","Mision Iglesia Pentecostal"," ","Administración- Telecomunicaciones"," "," "," "," "," "," ",3," "," ",0,"1",-36.780009,-73.099907," ",742,c(-73.0999072901893, -36.7800089100831)
"265","Liceos Técnicos Profesionales","4703",8,81,8110,"Biobio","Concepción","Talcahuano","Liceo Industrial Juan Antonio Rios","Desiderio Garcia 979","412 585 293","industrial@daemtalcahuano.cl"," "," "," "," ","URBANO","Municipal","69150800","Ilustre Municipalidad De Talcahuano"," ","Mecánica Automotriz- Mecánica Industrial- Electricidad"," "," "," "," "," "," ",3," "," ",0,"1",-36.751704,-73.105554," ",743,c(-73.1055538797078, -36.7517035499788)
"266","Liceos Técnicos Profesionales","3998",16,161,16107,"Ñuble","Diguillín","Quillón","Liceo Polivalente Luis Cruz Martinez","Arturo Prat 823","422 581 101","liceolcm@gmail.com"," "," "," "," ","URBANO","Municipal","69141400","Ilustre Municipalidad De Quillon"," ","Administración- Mecánica Automotriz- Servicio de Turismo"," "," "," "," "," "," ",3," "," ",0,"1",-36.751295,-72.475195," ",744,c(-72.4751952903304, -36.7512952703604)
"267","Liceos Técnicos Profesionales","4707",8,81,8110,"Biobio","Concepción","Talcahuano","Liceo Comercial Profesor Sergio Moraga Arcil","Almirante Neff 270","412 598 243","liceob22@gmail.com"," "," "," "," ","URBANO","Municipal","69150800","Ilustre Municipalidad De Talcahuano"," ","Contabilidad- Administración"," "," "," "," "," "," ",3," "," ",0,"1",-36.746755,-73.091434," ",745,c(-73.0914341000037, -36.7467545097128)
"268","Liceos Técnicos Profesionales","4708",8,81,8110,"Biobio","Concepción","Talcahuano","Liceo Polivalente Las Salinas","Almirante Neff 310","412 598 239","polivalente@daemtalcahuano.cl","www.polivalentetalcahuano.cl"," "," "," ","URBANO","Municipal","69150800","Ilustre Municipalidad De Talcahuano"," ","Administración- Operación Portuaria"," "," "," "," "," "," ",3," "," ",0,"1",-36.746121,-73.090043," ",746,c(-73.0900430502466, -36.7461207098029)
"269","Liceos Técnicos Profesionales","20461",16,161,16102,"Ñuble","Diguillín","Bulnes","Colegio Tecnico Profesional San Esteban","Victor Bianchi","421 576 125","gezflores@gmail.com"," "," "," "," ","URBANO","Particular Subvencionado","78868490","Sociedad Educacional San Gabriel Ltda."," ","Mecánica Automotriz- Atención de Enfermería"," "," "," "," "," "," ",3," "," ",0,"1",-36.739285,-72.304181," ",747,c(-72.3041809996534, -36.7392849998029)
"270","Liceos Técnicos Profesionales","4805",8,81,8107,"Biobio","Concepción","Penco","Liceo Pencopolitano","San Vicente 51","412 451 016","liceob40@yahoo.es"," "," "," "," ","URBANO","Municipal","69150500","Ilustre Municipalidad De Penco"," ","Acuicultura- Operación Portuaria- Otras especialidades sin información u obsoletas"," "," "," "," "," "," ",3," "," ",0,"1",-36.738668,-73.000473," ",748,c(-73.0004725898381, -36.7386684102189)
"271","Liceos Técnicos Profesionales","3976",16,161,16102,"Ñuble","Diguillín","Bulnes","Liceo Manuel Bulnes","Av. Eleuterio Ramirez 531","422 631 102","liceomanuelbulnes@gmail.com"," "," "," "," ","URBANO","Municipal","69141200","Ilustre Municipalidad De Bulnes"," ","Administración- Construcción- Otras especialidades sin información u obsoletas"," "," "," "," "," "," ",3," "," ",0,"1",-36.738558,-72.296955," ",749,c(-72.2969546502369, -36.738557840372)
"272","Liceos Técnicos Profesionales","4709",8,81,8110,"Biobio","Concepción","Talcahuano","Liceo Tecnico","Avenida Blanco Encalada 1250","412 541 902","rigel8@gmail.com"," "," "," "," ","URBANO","Municipal","69150800","Ilustre Municipalidad De Talcahuano"," ","Gastronomía- Servicio de Turismo- Servicios de Hotelería- Atención de Párvulos- Atención de Enfermería"," "," "," "," "," "," ",3," "," ",0,"1",-36.721333,-73.109198," ",750,c(-73.1091977698612, -36.7213328203533)
"273","Liceos Técnicos Profesionales","17782",8,81,8107,"Biobio","Concepción","Penco","Liceo Rios De Chile","Camino Forestal Dichoco. Lirquen S/N","412 385 681","liceoriosdechile@yahoo.es","www.liceoriosdechile.cl"," "," "," ","URBANO","Municipal","69150500","Ilustre Municipalidad De Penco"," ","Administración"," "," "," "," "," "," ",3," "," ",0,"1",-36.70884,-72.97479," ",751,c(-72.9747898902412, -36.708840200215)
